"","league","id","minute","result","X","Y","xG","player","h_a","player_id","situation","season","shotType","match_id","home_team","away_team","home_goals","away_goals","date","player_assisted","lastAction"
"1","EPL","309897","15","MissedShots",0.883000030517578,0.713000030517578,0.053779199719429,"Andrew Robertson","h","1688","OpenPlay","2019","LeftFoot","11643","Liverpool","Norwich",4,1,"2019-08-09 20:00:00","Divock Origi","Pass"
"2","EPL","309898","18","Goal",0.933000030517578,0.367000007629395,0.366816997528076,"Mohamed Salah","h","1250","OpenPlay","2019","LeftFoot","11643","Liverpool","Norwich",4,1,"2019-08-09 20:00:00","Roberto Firmino","Pass"
"3","EPL","309901","27","Goal",0.921999969482422,0.510999984741211,0.105315998196602,"Virgil van Dijk","h","833","FromCorner","2019","Head","11643","Liverpool","Norwich",4,1,"2019-08-09 20:00:00","Mohamed Salah","Cross"
"4","EPL","309902","30","SavedShot",0.878000030517578,0.555,0.112043999135494,"Roberto Firmino","h","482","OpenPlay","2019","LeftFoot","11643","Liverpool","Norwich",4,1,"2019-08-09 20:00:00","Trent Alexander-Arnold","Cross"
"5","EPL","309904","41","Goal",0.890999984741211,0.53,0.258251994848251,"Divock Origi","h","484","OpenPlay","2019","Head","11643","Liverpool","Norwich",4,1,"2019-08-09 20:00:00","Trent Alexander-Arnold","Chipped"
"6","EPL","309905","46","BlockedShot",0.848000030517578,0.694000015258789,0.045728400349617,"Roberto Firmino","h","482","OpenPlay","2019","LeftFoot","11643","Liverpool","Norwich",4,1,"2019-08-09 20:00:00","Andrew Robertson","Pass"
"7","EPL","309906","47","SavedShot",0.875,0.53,0.126690998673439,"Jordan Henderson","h","605","OpenPlay","2019","RightFoot","11643","Liverpool","Norwich",4,1,"2019-08-09 20:00:00","Divock Origi","Cross"
"8","EPL","309907","47","ShotOnPost",0.964000015258789,0.542000007629394,0.685405015945435,"Roberto Firmino","h","482","OpenPlay","2019","LeftFoot","11643","Liverpool","Norwich",4,1,"2019-08-09 20:00:00","Trent Alexander-Arnold","Pass"
"9","EPL","309908","53","MissedShots",0.88,0.339000015258789,0.0779922977089882,"Mohamed Salah","h","1250","OpenPlay","2019","LeftFoot","11643","Liverpool","Norwich",4,1,"2019-08-09 20:00:00","Fabinho","BallRecovery"
"10","EPL","309909","54","BlockedShot",0.849000015258789,0.417999992370605,0.105521999299526,"Jordan Henderson","h","605","OpenPlay","2019","RightFoot","11643","Liverpool","Norwich",4,1,"2019-08-09 20:00:00","Mohamed Salah","Pass"
"11","EPL","309910","54","SavedShot",0.726999969482422,0.535999984741211,0.0147264003753662,"Fabinho","h","3420","OpenPlay","2019","RightFoot","11643","Liverpool","Norwich",4,1,"2019-08-09 20:00:00",NA,"Rebound"
"12","EPL","309911","57","MissedShots",0.78,0.693000030517578,0.0130757996812463,"Andrew Robertson","h","1688","SetPiece","2019","LeftFoot","11643","Liverpool","Norwich",4,1,"2019-08-09 20:00:00",NA,"None"
"13","EPL","309914","70","BlockedShot",0.835999984741211,0.482000007629395,0.0952764973044395,"Roberto Firmino","h","482","OpenPlay","2019","RightFoot","11643","Liverpool","Norwich",4,1,"2019-08-09 20:00:00","Mohamed Salah","Pass"
"14","EPL","309915","72","MissedShots",0.735999984741211,0.374000015258789,0.0220336001366377,"Trent Alexander-Arnold","h","1791","OpenPlay","2019","RightFoot","11643","Liverpool","Norwich",4,1,"2019-08-09 20:00:00","Joseph Gomez","Pass"
"15","EPL","309917","84","SavedShot",0.811999969482422,0.527000007629395,0.153458997607231,"Trent Alexander-Arnold","h","1791","DirectFreekick","2019","RightFoot","11643","Liverpool","Norwich",4,1,"2019-08-09 20:00:00",NA,"Standard"
"16","EPL","309892","4","MissedShots",0.869000015258789,0.629000015258789,0.0703708007931709,"Marco Stiepermann","a","7694","OpenPlay","2019","LeftFoot","11643","Liverpool","Norwich",4,1,"2019-08-09 20:00:00","Teemu Pukki","Pass"
"17","EPL","309893","6","OwnGoal",0.0359999990463257,0.417999992370605,0,"Grant Hanley","a","7690","OpenPlay","2019","RightFoot","11643","Liverpool","Norwich",4,1,"2019-08-09 20:00:00",NA,"None"
"18","EPL","309894","9","MissedShots",0.84,0.614000015258789,0.0445749014616013,"Marco Stiepermann","a","7694","OpenPlay","2019","LeftFoot","11643","Liverpool","Norwich",4,1,"2019-08-09 20:00:00","Teemu Pukki","Pass"
"19","EPL","309895","14","BlockedShot",0.895,0.678000030517578,0.0985803008079529,"Teemu Pukki","a","7696","OpenPlay","2019","LeftFoot","11643","Liverpool","Norwich",4,1,"2019-08-09 20:00:00","Jamal Lewis","Throughball"
"20","EPL","309896","14","MissedShots",0.97,0.671999969482422,0.0538403987884521,"Teemu Pukki","a","7696","OpenPlay","2019","LeftFoot","11643","Liverpool","Norwich",4,1,"2019-08-09 20:00:00","Todd Cantwell","Pass"
"21","EPL","309899","24","SavedShot",0.805999984741211,0.477999992370605,0.0413956008851528,"Emiliano Buendía","a","2203","OpenPlay","2019","LeftFoot","11643","Liverpool","Norwich",4,1,"2019-08-09 20:00:00","Todd Cantwell","Pass"
"22","EPL","309900","25","SavedShot",0.803000030517578,0.49,0.0549972988665104,"Marco Stiepermann","a","7694","OpenPlay","2019","LeftFoot","11643","Liverpool","Norwich",4,1,"2019-08-09 20:00:00","Emiliano Buendía","Pass"
"23","EPL","309903","34","MissedShots",0.9,0.480999984741211,0.0215419996529818,"Tom Trybull","a","7692","FromCorner","2019","Head","11643","Liverpool","Norwich",4,1,"2019-08-09 20:00:00","Emiliano Buendía","Aerial"
"24","EPL","309912","61","ShotOnPost",0.905,0.27,0.048649400472641,"Moritz Leitner","a","1217","OpenPlay","2019","RightFoot","11643","Liverpool","Norwich",4,1,"2019-08-09 20:00:00","Todd Cantwell","Pass"
