,league,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,home_team,away_team,home_goals,away_goals,date,player_assisted,lastAction
1,EPL,479025,41,SavedShot,0.92,0.512000008,0.393575996,Odsonne Edouard,h,3697,SetPiece,2022,Head,18202,Crystal Palace,Arsenal,0,2,8/5/2022 19:00,Joachim Andersen,HeadPass
2,EPL,479026,45,BlockedShot,0.850999985,0.345,0.0557319,Odsonne Edouard,h,3697,OpenPlay,2022,RightFoot,18202,Crystal Palace,Arsenal,0,2,8/5/2022 19:00,Jordan Ayew,Pass
3,EPL,479027,45,BlockedShot,0.920999985,0.365999985,0.067060404,Odsonne Edouard,h,3697,OpenPlay,2022,RightFoot,18202,Crystal Palace,Arsenal,0,2,8/5/2022 19:00,NA,Rebound
4,EPL,479028,46,BlockedShot,0.765,0.487999992,0.0250833,Jeffrey Schlupp,h,757,OpenPlay,2022,LeftFoot,18202,Crystal Palace,Arsenal,0,2,8/5/2022 19:00,Jordan Ayew,Pass
5,EPL,479030,51,SavedShot,0.910999985,0.589000015,0.383123994,Eberechi Eze,h,8706,OpenPlay,2022,RightFoot,18202,Crystal Palace,Arsenal,0,2,8/5/2022 19:00,Wilfried Zaha,Throughball
6,EPL,479032,65,BlockedShot,0.875,0.307000008,0.041346099,Jeffrey Schlupp,h,757,OpenPlay,2022,LeftFoot,18202,Crystal Palace,Arsenal,0,2,8/5/2022 19:00,NA,None
7,EPL,479034,71,BlockedShot,0.920999985,0.705999985,0.028413599,Wilfried Zaha,h,522,OpenPlay,2022,RightFoot,18202,Crystal Palace,Arsenal,0,2,8/5/2022 19:00,Jordan Ayew,Cross
8,EPL,479035,80,BlockedShot,0.881999969,0.395,0.064033099,Jordan Ayew,h,672,OpenPlay,2022,RightFoot,18202,Crystal Palace,Arsenal,0,2,8/5/2022 19:00,Nathaniel Clyne,TakeOn
9,EPL,479036,80,MissedShots,0.894000015,0.614000015,0.062172901,Jean-Philippe Mateta,h,5735,OpenPlay,2022,LeftFoot,18202,Crystal Palace,Arsenal,0,2,8/5/2022 19:00,Wilfried Zaha,Goal
10,EPL,479037,80,MissedShots,0.91,0.472000008,0.089563496,Jeffrey Schlupp,h,757,OpenPlay,2022,LeftFoot,18202,Crystal Palace,Arsenal,0,2,8/5/2022 19:00,Jean-Philippe Mateta,None
